"seqname","id","strand","pos","p1.pos","m1.pos","dist","descr","start","end","chrom"
"chrI","YAL001C (TFC3 FUN24 TSV115)","-",147536,147461,147676,215,"F-close-F",147461,147676,"chrI"
"chrI","YAL002W (VPS8 FUN15 VPL8 VPT8)","+",147589,147676,147461,215,"F-close-F",147461,147676,"chrI"
"chrI","YAL003W (EFB1 TEF5)","+",143381,143626,143311,315,"W-open-W",143311,143626,"chrI"
"chrI","YAL004W","+",141543,141572,141468,104,"F-overlap-F",141468,141572,"chrI"
"chrI","YAL005C (SSA1 YG100)","-",139357,139271,139391,120,"F-close-F",139271,139391,"chrI"
"chrI","YAL007C (ERP2)","-",137552,137410,137582,172,"F-close-W",137410,137582,"chrI"
"chrI","YAL008W (FUN14)","+",137642,137760,137582,178,"F-close-W",137582,137760,"chrI"
"chrI","YAL009W (SPO7)","+",136756,136921,136708,213,"W-close-W",136708,136921,"chrI"
"chrI","YAL010C (MDM10 FUN37)","-",134079,134041,134257,216,"F-open-W",134041,134257,"chrI"
"chrI","YAL011W (SWC3 SWC1)","+",134173,134257,134041,216,"W-open-F",134041,134257,"chrI"
"chrI","YAL012W (CYS3 CYI1 FUN35 STR1)","+",132082,132231,131975,256,"W-open-W",131975,132231,"chrI"
"chrI","YAL013W (DEP1 FUN54)","+",130588,130758,130454,304,"W-open-W",130454,130758,"chrI"
"chrI","YAL014C (SYN8 SLT2 UIP2)","-",128118,128046,128261,215,"F-close-W",128046,128261,"chrI"
"chrI","YAL015C (NTG1 FUN33 SCR1 ogg2)","-",126896,126808,127036,228,"W-open-F",126808,127036,"chrI"
"chrI","YAL016C-B","-",124034,124033,124224,191,"W-close-W",124033,124224,"chrI"
"chrI","YAL016W (TPD3 FUN32)","+",126870,127036,126808,228,"F-open-W",126808,127036,"chrI"
"chrI","YAL017W (PSK1 FUN31)","+",124494,124578,124368,210,"F-close-W",124368,124578,"chrI"
"chrI","YAL018C","-",118426,118404,118501,97,"F-overlap-F",118404,118501,"chrI"
"chrI","YAL019W (FUN30)","+",118386,118404,118235,169,"F-close-F",118235,118404,"chrI"
"chrI","YAL020C (ATS1 FUN28 KTI13)","-",113537,113424,113630,206,"W-close-F",113424,113630,"chrI"
"chrI","YAL021C (CCR4 FUN27 NUT21)","-",110616,110408,110671,263,"W-open-W",110408,110671,"chrI"
"chrI","YAL022C (FUN26)","-",108820,108603,108933,330,"W-open-W",108603,108933,"chrI"
"chrI","YAL023C (PMT2 FUN25)","-",106157,106166,106355,189,"W-close-W",106166,106355,"chrI"
"chrI","YAL024C (LTE1 MSI2)","-",101384,101146,101411,265,"W-open-W",101146,101411,"chrI"
"chrI","YAL025C (MAK16)","-",100038,99991,100195,204,"W-close-F",99991,100195,"chrI"
"chrI","YAL026C (DRS2 FUN38 SWA3)","-",95563,95503,95729,226,"F-open-W",95503,95729,"chrI"
"chrI","YAL027W (SAW1)","+",95578,95729,95503,226,"W-open-F",95503,95729,"chrI"
"chrI","YAL028W (FRT2 HPH2)","+",94529,94673,94432,241,"W-open-W",94432,94673,"chrI"
"chrI","YAL029C (MYO4 FUN22 SHE1)","-",87768,87647,87791,144,"F-close-W",87647,87791,"chrI"
"chrI","YAL030W (SNC1)","+",87879,88002,87791,211,"F-close-W",87791,88002,"chrI"
"chrI","YAL031C (GIP4 FUN21)","-",84584,84453,84706,253,"W-open-W",84453,84706,"chrI"
"chrI","YAL032C (PRP45 FUN20)","-",83204,83075,83255,180,"W-close-W",83075,83255,"chrI"
"chrI","YAL033W (POP5 FUN53)","+",83306,83397,83255,142,"W-close-W",83255,83397,"chrI"
"chrI","YAL034C (FUN19)","-",80596,80608,80750,142,"F-close-F",80608,80750,"chrI"
"chrI","YAL034C-B (YAL035C-A)","-",79445,79386,79495,109,"W-overlap-F",79386,79495,"chrI"
"chrI","YAL034W-A (MTW1 DSN3 NSL2)","+",80675,80750,80608,142,"F-close-F",80608,80750,"chrI"
"chrI","YAL035W (FUN12 yIF2)","+",79561,79732,79495,237,"W-open-W",79495,79732,"chrI"
"chrI","YAL036C (RBG1 FUN11)","-",74850,74739,74909,170,"F-close-F",74739,74909,"chrI"
"chrI","YAL037C-A","-",73385,73231,73513,282,"W-open-F",73231,73513,"chrI"
"chrI","YAL037C-B","-",71754,71601,71863,262,"F-open-F",71601,71863,"chrI"
"chrI","YAL037W","+",74966,75185,74909,276,"F-open-F",74909,75185,"chrI"
"chrI","YAL038W (CDC19 PYK1)","+",73446,73513,73231,282,"F-open-W",73231,73513,"chrI"
"chrI","YAL039C (CYC3)","-",68647,NA,NA,NA,"+1_missing",68258,68752,"chrI"
"chrI","YAL040C (CLN3 DAF1 FUN10 WHI1)","-",65601,65507,65738,231,"F-open-W",65507,65738,"chrI"
"chrI","YAL041W (CDC24 CLS4)","+",65463,65507,65409,98,"F-overlap-W",65409,65507,"chrI"
"chrI","YAL042W (ERV46 FUN9)","+",62654,62823,62534,289,"W-open-W",62534,62823,"chrI"
"chrI","YAL043C (PTA1 FUN39)","-",58619,58433,58678,245,"W-open-W",58433,58678,"chrI"
"chrI","YAL044C (GCV3)","-",57868,57728,57905,177,"W-close-W",57728,57905,"chrI"
"chrI","YAL044W-A","+",57974,58080,57905,175,"W-close-W",57905,58080,"chrI"
"chrI","YAL045C","-",57373,57348,57547,199,"W-close-W",57348,57547,"chrI"
"chrI","YAL046C (AIM1)","-",56907,56818,57036,218,"W-open-W",56818,57036,"chrI"
"chrI","YAL047C (SPC72 LDB4)","-",54934,54735,54977,242,"W-open-W",54735,54977,"chrI"
"chrI","YAL047W-A","+",55113,55133,54977,156,"W-close-W",54977,55133,"chrI"
"chrI","YAL048C (GEM1 GON1)","-",52697,52597,52872,275,"W-open-W",52597,52872,"chrI"
"chrI","YAL049C (AIM2)","-",51736,51728,51815,87,"F-overlap-F",51728,51815,"chrI"
"chrI","YAL051W (OAF1 YAF1)","+",51847,51947,51815,132,"F-close-W",51815,51947,"chrI"
"chrI","YAL053W (FLC2 HUF2)","+",48322,48559,48250,309,"W-open-W",48250,48559,"chrI"
"chrI","YAL054C (ACS1 FUN44)","-",42718,42713,42920,207,"W-close-W",42713,42920,"chrI"
"chrI","YAL055W (PEX22 YAF5)","+",42804,42920,42713,207,"W-close-W",42713,42920,"chrI"
"chrI","YAL056W (GPB2 KRH1)","+",41999,42227,41957,270,"F-open-W",41957,42227,"chrI"
"chrI","YAL058W (CNE1 FUN48)","+",39104,39266,38969,297,"W-open-W",38969,39266,"chrI"
"chrI","YAL059W (ECM1)","+",37338,37439,37228,211,"W-close-W",37228,37439,"chrI"
"chrI","YAL060W (BDH1 BDH)","+",36415,36585,36327,258,"W-open-W",36327,36585,"chrI"
"chrI","YAL061W (BDH2)","+",34874,34863,34753,110,"F-overlap-W",34753,34863,"chrI"
"chrI","YAL062W (GDH3 FUN51)","+",33026,33220,32898,322,"W-open-W",32898,33220,"chrI"
"chrI","YAL064W-B","+",12980,13226,12907,319,"F-open-F",12907,13226,"chrI"
"chrI","YAL067C (SEO1)","-",7016,6954,7150,196,"W-close-W",6954,7150,"chrI"
"chrI","YAR002C-A (ERP1)","-",153957,153894,154045,151,"F-close-F",153894,154045,"chrI"
"chrI","YAR002W (NUP60)","+",153970,154045,153894,151,"F-close-F",153894,154045,"chrI"
"chrI","YAR003W (SWD1 CPS50 FUN16 SAF49)","+",156780,156827,156599,228,"F-open-W",156599,156827,"chrI"
"chrI","YAR007C (RFA1 BUF2 FUN3 RPA1)","-",156681,156599,156827,228,"W-open-F",156599,156827,"chrI"
"chrI","YAR008W (SEN34 FUN4)","+",159890,159965,159852,113,"W-overlap-F",159852,159965,"chrI"
"chrI","YAR014C (BUD14)","-",166564,166449,166654,205,"W-close-W",166449,166654,"chrI"
"chrI","YAR015W (ADE1)","+",170409,170465,170388,77,"F-overlap-F",170388,170465,"chrI"
